0,1
Lindsey Graham,GrahamBlog
Rep. Aumua Amata🇦🇸,RepAmata
Senator Bob Casey,SenBobCasey
Senator Mike Braun,SenatorBraun
RepScottPerry,RepScottPerry
Senator Chris Coons,ChrisCoons
Congressman Jim Baird,RepJimBaird
US Rep. Darren Soto,RepDarrenSoto
Senator John Thune,SenJohnThune
Glenn 'GT' Thompson,CongressmanGT
Rep. Kevin Brady,RepKevinBrady
Tom Graves,RepTomGraves
Senator Deb Fischer,SenatorFischer
Rep. Harley Rouda,RepHarley
Rob Woodall,RepRobWoodall
House Foreign Affairs GOP,HouseForeignGOP
Ro Khanna,RoKhanna
Cong. Steven Palazzo,CongPalazzo
Rep. John Moolenaar,RepMoolenaar
Rep. Chris Collins,RepChrisCollins
Rep. Joe Courtney,RepJoeCourtney
Dutch Ruppersberger,Call_Me_Dutch
US Rep. Mike Turner,RepMikeTurner
Dr. Phil Roe,DrPhilRoe
Carol Miller,RepCarolMiller
(((Rep. Nadler))),RepJerryNadler
John Shimkus,RepShimkus
Lindsey Graham,LindseyGrahamSC
Rep. Scott Peters,RepScottPeters
Senator Angus King,SenAngusKing
Rep. Dan Kildee,RepDanKildee
Pete Aguilar,aguilarpete
Sen. Kirsten Gillibrand,gillibrandny
Rep. Lucy McBath,RepLucyMcBath
Yvette D. Clarke,RepYvetteClarke
House Budget Committee,HouseBudgetDems
Congresswoman Madeleine Dean,RepDean
Rep. Brett Guthrie,RepGuthrie
US Rep. Al Lawson Jr,RepAlLawsonJr
Rep. Diana DeGette,RepDianaDeGette
Rep. Doug Lamborn,RepDLamborn
Sen. Lisa Murkowski,lisamurkowski
Rep. Salud Carbajal,RepCarbajal
Rep. Lucille Roybal-Allard,RepRoybalAllard
Brian Schatz,brianschatz
Congressman Bill Keating,USRepKeating
Senator Bob Corker,SenBobCorker
Senator Jon Tester,SenatorTester
Jim Langevin,JimLangevin
Senator Pat Roberts,SenPatRoberts
Rep. Gwen Moore,RepGwenMoore
John Rose,RepJohnRose
Rep. Walter Jones,RepWalterJones
Hal Rogers,RepHalRogers
Mac Thornberry Press,MacTXPress
Richard Shelby,SenShelby
"Ami Bera, M.D.",RepBera
Bennie G. Thompson,BennieGThompson
Rep. John Curtis,RepJohnCurtis
Ruben Gallego,RepRubenGallego
Denny Heck,RepDennyHeck
Senator Bob Menendez,SenatorMenendez
Sen. Tammy Baldwin,SenatorBaldwin
Senator Mike Crapo,MikeCrapo
Rep. Ro Khanna,RepRoKhanna
Cory Gardner,SenCoryGardner
"Rep. Paul Gosar, DDS",RepGosar
Rep. Liz Cheney,RepLizCheney
Chrissy Houlahan,RepHoulahan
Rep. Rick Larsen,RepRickLarsen
Robin Kelly,RobinLynneKelly
Fred Upton,RepFredUpton
Congressman Al Green,RepAlGreen
Rep. Eric Swalwell,RepSwalwell
Mike Quigley,RepMikeQuigley
Michael Bennet,SenatorBennet
John Lewis,repjohnlewis
Sheldon Whitehouse,SenWhitehouse
Rep. Sean Casten,RepCasten
Rep. John Yarmuth,RepJohnYarmuth
T&I Committee Republicans,TransportGOP
Dina Titus,dinatitus
Albio Sires,RepSires
Sen. Lamar Alexander,SenAlexander
Rep. Mike Levin,RepMikeLevin
Sen. Cory Booker,SenBooker
Drew Ferguson,RepDrewFerguson
Rep. Katie Hill,RepKatieHill
Donald Norcross,DonaldNorcross
Senator Mazie Hirono,maziehirono
Rep. Brian Mast,RepBrianMast
Sen Dianne Feinstein,SenFeinstein
Rep. Brendan Boyle,CongBoyle
Rep. Daniel Lipinski,RepLipinski
Richard Blumenthal,SenBlumenthal
Jared Polis,jaredpolis
US Rep Rodney Davis,RodneyDavis
Rep. Susan Davis,RepSusanDavis
Rep. Tom Cole,TomColeOK04
Mario Diaz-Balart,MarioDB
Adam Kinzinger,RepKinzinger
Rep. Jason Smith,RepJasonSmith
"Michael Burgess, MD",michaelcburgess
Rep. Max Rose,RepMaxRose
Rep. Pete Olson,RepPeteOlson
US Rep E.B.Johnson,RepEBJ
Jenniffer González,RepJenniffer
Bill Foster,RepBillFoster
Rep. Michael Waltz,RepMichaelWaltz
Tom Cotton,SenTomCotton
Congresswoman Lori Trahan,RepLoriTrahan
Rep. Frank Pallone,FrankPallone
Thomas Massie,RepThomasMassie
Rep. Danny K. Davis,RepDannyDavis
Rep.Grace Napolitano,gracenapolitano
Rob Portman,senrobportman
Matt Cartwright,RepCartwright
Tammy Duckworth,SenDuckworth
Rep. Steve Watkins,Rep_Watkins
Congresswoman Mary Gay Scanlon,RepMGS
Rep. Tony Cárdenas,RepCardenas
Senator Ron Johnson,SenRonJohnson
Senator Roger Wicker,SenatorWicker
Dave Joyce,RepDaveJoyce
Judy Chu,RepJudyChu
Mike Rogers,RepMikeRogersAL
Judge Carter,JudgeCarter
Congressman Chris Pappas,RepChrisPappas
Rep. Lou Correa,RepLouCorrea
Tom Reed,RepTomReed
Rep. Rob Wittman,RobWittman
Rep. Jody Hice,CongressmanHice
Eleanor Holmes Norton,EleanorNorton
Darin LaHood,RepLaHood
RepMarkAmodei,MarkAmodeiNV2
Rep David Schweikert,RepDavid
Eliot Engel,RepEliotEngel
Rep. Bobby Scott,BobbyScott
House Admin. Committee GOP,HouseAdmnGOP
Jeff Fortenberry,JeffFortenberry
Senator Jerry Moran,JerryMoran
Rep. Debbie Dingell,RepDebDingell
Rep. Bradley Byrne,RepByrne
Congressman Dan Meuser,RepMeuser
Rep. Alexandria Ocasio-Cortez,RepAOC
Steve Cohen,RepCohen
Ann McLane Kuster,RepAnnieKuster
Carolyn  B. Maloney,RepMaloney
"U.S. Senator Bill Cassidy, M.D.",SenBillCassidy
Rep. Juan Vargas,RepJuanVargas
Joint Economic Committee Democrats,JECDems
Rep. Donald Payne Jr,RepDonaldPayne
Tom McClintock,RepMcClintock
Linda T. Sánchez,RepLindaSanchez
Ann Wagner,RepAnnWagner
Steve Scalise,SteveScalise
Barry Loudermilk,RepLoudermilk
Rep. Don Bacon,RepDonBacon
Rep. Jimmy Gomez,RepJimmyGomez
Joe Wilson,RepJoeWilson
Senator Ted Cruz,SenTedCruz
Ben Ray Luján,repbenraylujan
Rep. Vicente Gonzalez,RepGonzalez
Ron Wyden,RonWyden
Rep. Haley Stevens,RepHaleyStevens
Lance Gooden,RepLanceGooden
Senator Hawley Press Office,SenHawleyPress
Rep. Devin Nunes,RepDevinNunes
Rep. Kim Schrier,RepKimSchrier
Rep. Jennifer Wexton,RepWexton
Senator John Boozman,JohnBoozman
Rep. Sharice Davids,RepDavids
Rep. Mark Green,RepMarkGreen
Steve King,SteveKingIA
Rep. Debbie Mucarsel-Powell,RepDMP
Congressman Jim Hagedorn,RepHagedorn
Rep. Henry Cuellar,RepCuellar
Rep. Hank Johnson,RepHankJohnson
Tom Udall,SenatorTomUdall
Rep. Brad Schneider,RepSchneider
Rep. Ben McAdams,RepBenMcAdams
Alma S. Adams,RepAdams
Rep. Mikie Sherrill,RepSherrill
David Cicilline,davidcicilline
Doug Jones,SenDougJones
Rep. Paul Mitchell,RepPaulMitchell
Senator Joe Manchin,Sen_JoeManchin
Rep. Elise Stefanik,RepStefanik
Rep. Norma Torres,NormaJTorres
Angie Craig,RepAngieCraig
Rep. John Sarbanes,RepSarbanes
Rep. Deb Haaland,RepDebHaaland
Mo Brooks,RepMoBrooks
Bill Posey,congbillposey
RepAndyKim,RepAndyKimNJ
Elizabeth Warren,SenWarren
Adam Schiff,RepAdamSchiff
John Joyce,RepJohnJoyce
Patrick McHenry,PatrickMcHenry
Senator John Cornyn,JohnCornyn
Morgan Griffith,RepMGriffith
Buddy Carter,RepBuddyCarter
Sean Duffy,RepSeanDuffy
Dina Titus,repdinatitus
Sen. Marsha Blackburn,MarshaBlackburn
Jim Cooper,repjimcooper
Cong. Mike Simpson,CongMikeSimpson
Tim Kaine,timkaine
House Appropriations,AppropsDems
Rep. Chris Stewart,RepChrisStewart
Rep. Xochitl Torres Small,RepTorresSmall
Rep. Tulsi Gabbard,TulsiPress
Rep. Mike Kelly,MikeKellyPA
Johnny Isakson,SenatorIsakson
French Hill,RepFrenchHill
Senator Ben Cardin,SenatorCardin
Adriano Espaillat,RepEspaillat
House Foreign Affairs Committee,HouseForeign
Rep. Derek Kilmer,RepDerekKilmer
Senator Cortez Masto,SenCortezMasto
US Rep Kathy Castor,USRepKCastor
Greg Stanton,RepGregStanton
Peter Roskam,PeterRoskam
Senator Pat Toomey,SenToomey
Maxine Waters,RepMaxineWaters
Rep. Kurt Schrader,RepSchrader
Rep. Lloyd Smucker,RepSmucker
Mark Meadows,RepMarkMeadows
Energy and Commerce Committee,EnergyCommerce
Senator Jack Reed,SenJackReed
Rep. Pete Visclosky,RepVisclosky
Rep. Charlie Crist,RepCharlieCrist
David B. McKinley,RepMcKinley
Rep. Doris Matsui,DorisMatsui
Blaine Luetkemeyer,RepBlaine
Rep. Pramila Jayapal,RepJayapal
Rep. Sylvia Garcia,RepSylviaGarcia
Susan W. Brooks,SusanWBrooks
Rep. Arrington,RepArrington
Rep. Bill Huizenga,RepHuizenga
Rep. Steve Womack,rep_stevewomack
Rep. Mike Bost,RepBost
Congresswoman Kendra Horn,RepKendraHorn
Rep. Lizzie Fletcher,RepFletcher
Rep. Don Beyer,RepDonBeyer
Rep. Elissa Slotkin,RepSlotkin
Rep. Martha Roby,RepMarthaRoby
Rep. Scott Tipton,RepTipton
Rep. Garret Graves,RepGarretGraves
U.S. Rep. Bob Latta,boblatta
Rep. Cindy Axne,RepCindyAxne
Sean Patrick Maloney,RepSeanMaloney
Congresswoman Debbie Lesko,RepDLesko
Paul Tonko,RepPaulTonko
Alcee L. Hastings,RepHastingsFL
John Ratcliffe,RepRatcliffe
George Holding,RepHolding
Rep. Joe Cunningham,RepCunningham
Shelley Moore Capito,SenCapito
Rep. Roger Williams,RepRWilliams
Lee Zeldin,RepLeeZeldin
Rep Frederica Wilson,RepWilson
JaimeHerreraBeutler,HerreraBeutler
Jackie Walorski,RepWalorski
Ted Yoho,RepTedYoho
Mark Takano,RepMarkTakano
Martha McSally,SenMcSallyAZ
Congresswoman Julia Brownley,RepBrownley
Rep. Susie Lee,RepSusieLee
Rep. Tom O'Halleran,RepOHalleran
Congressman Tom Rice,RepTomRice
David Rouzer,RepDavidRouzer
Financial Services GOP,FinancialCmte
Pete Stauber,RepPeteStauber
Rep. Dan Crenshaw,RepDanCrenshaw
Rep. Ed Case,RepEdCase
Senator Dick Durbin,SenatorDurbin
André Carson,RepAndreCarson
Brad Wenstrup,RepBradWenstrup
Sensenbrenner Press,JimPressOffice
Richard Burr,SenatorBurr
Warren Davidson,WarrenDavidson
Gerry Connolly,GerryConnolly
CathyMcMorrisRodgers,cathymcmorris
Jackie Speier,RepSpeier
Senator Thom Tillis,SenThomTillis
Rep. Val Demings,RepValDemings
Rep. Guy Reschenthaler,GReschenthaler
Rep. Greg Walden,repgregwalden
U.S. Senator Cindy Hyde-Smith,SenHydeSmith
Ken Calvert,KenCalvert
Seth Moulton,sethmoulton
Gus Bilirakis,RepGusBilirakis
Congressman Denver Riggleman,RepRiggleman
Bill Johnson,RepBillJohnson
Mike Thompson,RepThompson
David E. Price,RepDavidEPrice
Rep. Ralph Norman,RepRalphNorman
Rep. Marcia L. Fudge,RepMarciaFudge
Richard Hudson,RepRichHudson
Rep Josh Gottheimer,RepJoshG
Ted Budd,RepTedBudd
U.S. Rep. Billy Long,USRepLong
Raul M. Grijalva,RepRaulGrijalva
Jim Risch,SenatorRisch
Jahana Hayes,RepJahanaHayes
Brian Babin,RepBrianBabin
Sheila Jackson Lee,JacksonLeeTX18
Rep. Tom Malinowski,RepMalinowski
Rep. Dan Newhouse,RepNewhouse
"Larry Bucshon, MD",RepLarryBucshon
"Sanford Bishop, Jr.",SanfordBishop
Rep. Donna E. Shalala,RepShalala
Rep Peter DeFazio,RepPeterDeFazio
Rep. John Larson,RepJohnLarson
Rep. Jim Jordan,Jim_Jordan
Rep. Andy Levin,RepAndyLevin
Congressman Ben Cline,RepBenCline
Senator Mike Rounds,SenatorRounds
Rep. Jim McGovern,RepMcGovern
Rep. Steve Chabot,RepSteveChabot
Rep. Dean Phillips,RepDeanPhillips
Sen. Maggie Hassan,SenatorHassan
Rep Andy Biggs,RepAndyBiggsAZ
Joe Crowley,JoeCrowleyNY
Jerry McNerney,RepMcNerney
Rep. Vern Buchanan,VernBuchanan
Rep. Anthony Brindisi,RepBrindisi
Senator Jacky Rosen,SenJackyRosen
Chuck Schumer,SenSchumer
Rep. Colin Allred,RepColinAllred
Congresswoman Rashida Tlaib,RepRashida
Rep. Katie Porter,RepKatiePorter
Energy & Commerce GOP,HouseCommerce
Oversight Committee,OversightDems
Joint Economic Committee,JECRepublicans
Mike Doyle,USRepMikeDoyle
Elijah E. Cummings,RepCummings
Louie Gohmert,replouiegohmert
Senator John Hoeven,SenJohnHoeven
Congressman Michael Guest,RepMichaelGuest
David Perdue,sendavidperdue
Rep. Ralph Abraham,RepAbraham
Rep. Stephen Lynch,RepStephenLynch
Congressman Chuy García,RepChuyGarcia
Rep. Emanuel Cleaver,repcleaver
Congressman Ken Buck,RepKenBuck
U.S. Representative Bill Flores,RepBillFlores
Rep. Russ Fulcher,RepRussFulcher
Joe Morelle,RepJoeMorelle
Jim Inhofe,JimInhofe
Congressmember Bass,RepKarenBass
Rep. Mike Gallagher,RepGallagher
Rep. Peter Welch,PeterWelch
Mike Enzi,SenatorEnzi
Kamala Harris,SenKamalaHarris
Rep. Dusty Johnson,RepDustyJohnson
John Katko,RepJohnKatko
Bernie Sanders,SenSanders
Rep. Bob Gibbs,RepBobGibbs
Chris Van Hollen,ChrisVanHollen
Chuck Fleischmann,RepChuck
Rep Van Taylor,RepVanTaylor
John Kennedy,SenJohnKennedy
Rep. Stacey Plaskett,StaceyPlaskett
Frank Lucas,RepFrankLucas
Bobby L. Rush,RepBobbyRush
Brenda Lawrence,RepLawrence
Suzanne Bonamici,RepBonamici
Raul Ruiz,CongressmanRuiz
Rep. Bruce Westerman,RepWesterman
Joyce Beatty,RepBeatty
Rep. Matt Gaetz,RepMattGaetz
Katherine Clark,RepKClark
Congressman Kelly Armstrong,RepArmstrongND
"Bill Pascrell, Jr.",BillPascrell
Sen. Patrick Leahy,SenatorLeahy
Rep. Suzan DelBene,RepDelBene
Congressman Jared Golden,RepGolden
Kenny Marchant,RepKenMarchant
Sen. Dan Sullivan,SenDanSullivan
Armed Services,HASCRepublicans
Sen. Susan Collins,SenatorCollins
Rep. Joe Kennedy III,RepJoeKennedy
Jan Schakowsky,janschakowsky
Rep. Will Hurd,HurdOnTheHill
Gary Palmer,USRepGaryPalmer
Mike Lee,SenMikeLee
House Homeland GOP,HomelandGOP
Pat Tiberi,PatTiberi
Michael McCaul,RepMcCaul
Lacy Clay MO1st,LacyClayMO1
Rep. Lois Frankel,RepLoisFrankel
Raja Krishnamoorthi,CongressmanRaja
Rep. Clay Higgins,RepClayHiggins
Hakeem Jeffries,RepJeffries
Congressman Greg Steube,RepGregSteube
Kyrsten Sinema,SenatorSinema
Trent Kelly,RepTrentKelly
Rep. Marc Veasey,RepVeasey
Rep. Ted Deutch,RepTedDeutch
José E. Serrano,RepJoseSerrano
Senator Patty Murray,PattyMurray
Sherrod Brown,SenSherrodBrown
Kathleen Rice,RepKathleenRice
Rep. Ilhan Omar,Ilhan
Rep. Jeff Duncan,RepJeffDuncan
@RepRossSpano,RepRossSpano
Congressman Antonio Delgado,repdelgado
Rep. Jared Huffman,JaredHuffman
Earl Blumenauer,repblumenauer
Rep. Bonnie Watson Coleman,RepBonnie
Rep. Duncan Hunter,Rep_Hunter
House Ag GOP,HouseAgGOP
Joaquin Castro,JoaquinCastrotx
Steny Hoyer,LeaderHoyer
Rep. Jim Costa,RepJimCosta
Rep. Abigail Spanberger,RepSpanberger
Senator Tina Smith,SenTinaSmith
Justin Amash,justinamash
House Judiciary Dems,HouseJudiciary
US Rep. Filemon Vela,RepFilemonVela
Rep. Anthony Gonzalez,RepAGonzalez
Senator Gary Peters,SenGaryPeters
Sen. Jeanne Shaheen,SenatorShaheen
Bryan Steil,RepBryanSteil
Rep. Nydia Velazquez,NydiaVelazquez
Congressman Tim Ryan,RepTimRyan
Rep. Greg Pence,RepGregPence
Ways & Means Committee,WaysMeansCmte
Ways and Means GOP,WaysandMeansGOP
Rep. Ron Estes,RepRonEstes
Rep. Ted Lieu,RepTedLieu
Rep. Mark Pocan,repmarkpocan
Randy Weber,TXRandy14
Nancy Pelosi,SpeakerPelosi
House Ed & Labor Republicans,EdLaborGOP
HouseVetAffairsGOP,HouseVetAffairs
Rep. Tim Burchett,RepTimBurchett
Congresswoman Ayanna Pressley,RepPressley
Congressman TJ Cox,RepTjCox
Rep. Jamie Raskin,RepRaskin
Lloyd Doggett,RepLloydDoggett
Martin Heinrich,MartinHeinrich
Nanette D. Barragán,RepBarragan
Joni Ernst,SenJoniErnst
Congressman Jeff Van Drew,CongressmanJVD
Francis Rooney,RepRooney
Senator Rand Paul,RandPaul
Dr. Neal Dunn,DrNealDunnFL2
Abby Finkenauer,RepFinkenauer
Rick W. Allen,RepRickAllen
Senator Tom Carper,SenatorCarper
Conor Lamb,RepConorLamb
Ed Markey,SenMarkey
Mark Warner,MarkWarner
Rep. Vicky Hartzler,RepHartzler
Rep. Cheri Bustos,RepCheri
Brian Fitzpatrick,RepBrianFitz
Trey Hollingsworth,RepTrey
Congressman William Timmons,RepTimmons
Rep. Gil Cisneros,RepGilCisneros
Markwayne Mullin,RepMullin
Senator Todd Young,SenToddYoung
Brian Higgins,RepBrianHiggins
Rep. Jason Crow,RepJasonCrow
Sen. John Barrasso,SenJohnBarrasso
"Rep. Andy Harris, MD",RepAndyHarrisMD
Rep. Brad Sherman,BradSherman
Debbie Wasserman Schultz,DWStweets
Mike Conaway,ConawayTX11
Rep. Ed Perlmutter,RepPerlmutter
Rep. Alan Lowenthal,RepLowenthal
Daniel Webster,RepWebster
Rep. John Rutherford,RepRutherfordFL
Rep. Mike Johnson,RepMikeJohnson
Rep. Jimmy Panetta,RepJimmyPanetta
Rep. Barbara Lee,RepBarbaraLee
Rep. Kay Granger,RepKayGranger
John Garamendi,RepGaramendi
Rep. Lauren Underwood,RepUnderwood
HouseRulesRepublicans,RulesReps
Senate Republicans,SenateGOP
Chris Murphy,ChrisMurphyCT
Sen. James Lankford,SenatorLankford
Rep. Josh Harder,RepJoshHarder
Rep. Adam Smith,RepAdamSmith
Marco Rubio,marcorubio
G. K. Butterfield,GKButterfield
House Armed Services,HASCDemocrats
Tom Suozzi,RepTomSuozzi
Science Committee,HouseScience
Rep. David Trone,RepDavidTrone
Rep. Blunt Rochester,RepLBR
Senator Ben Sasse,SenSasse
Mark DeSaulnier,RepDeSaulnier
Senator Mitt Romney,SenatorRomney
Kevin Hern,repkevinhern
Rep. Terri A. Sewell,RepTerriSewell
James E. Clyburn,WhipClyburn
"Sci, Space, & Tech GOP",housesciencegop
Rep. Paul Cook,RepPaulCook
Rep. Glenn Grothman,RepGrothman
Marcy Kaptur,RepMarcyKaptur
Steve Stivers,RepSteveStivers
Rep. Adrian Smith,RepAdrianSmith
Rep. Anna G. Eshoo,RepAnnaEshoo
Rep Cedric Richmond,RepRichmond
Michael Cloud,RepCloudTX
ChuckGrassley,ChuckGrassley
Rick Scott,SenRickScott
Rep. Steven Horsford,RepHorsford
Rep. Susan Wild,RepSusanWild
Rep. Debbie Wasserman Schultz,RepDWStweets
Sen. Debbie Stabenow,SenStabenow
Rep. Betty McCollum,BettyMcCollum04
Jim Himes,jahimes
Rep. Stephanie Murphy,RepStephMurphy
Tom Emmer,RepTomEmmer
Rep Tim Walberg,RepWalberg
Kevin McCarthy,GOPLeader
Rep. Chip Roy,RepChipRoy
James Comer,KYComer
Rep. Ron Kind,RepRonKind
Ron Wright,RepRonWright
Rosa DeLauro,rosadelauro
Congressman Troy Balderson,RepBalderson
Rep. Robert Aderholt,Robert_Aderholt
Senator Jeff Merkley,SenJeffMerkley
Rep. Alex Mooney,RepAlexMooney
Leader McConnell,senatemajldr
Robin Kelly,RepRobinKelly
Rep. Veronica Escobar,RepEscobar
Senator Roy Blunt,RoyBlunt
Sen. Kevin Cramer,SenKevinCramer
Rep. Austin Scott,AustinScottGA08
Rep. Pete Aguilar,RepPeteAguilar
US Rep Brendan Boyle,RepBrendanBoyle
Senator Amy Klobuchar,SenAmyKlobuchar
Representative Elaine Luria,RepElaineLuria
Chellie Pingree,chelliepingree
Rep. Doug LaMalfa,RepLaMalfa
Rep. Don Young,repdonyoung
Rep. David Kustoff,RepDavidKustoff
Rep. Ann Kirkpatrick,RepKirkpatrick
Rep. Mark Walker,RepMarkWalker
Rep. Richard Neal,RepRichardNeal
Rep Rick Crawford,RepRickCrawford
David Scott,repdavidscott
Rep. Andy Barr,RepAndyBarr
Scott DesJarlais,DesJarlaisTN04
Rep. Jared Huffman,RepHuffman
Rep. Doug Collins,RepDougCollins
Rep. Joe Neguse,RepJoeNeguse
Grace Meng,RepGraceMeng
Nita Lowey,NitaLowey
Rep. Pete King,RepPeteKing
Rep. Gregory Meeks,RepGregoryMeeks
Dwight Evans,RepDwightEvans
Virginia Foxx,virginiafoxx
Steve Daines,SteveDaines
Dave Loebsack,daveloebsack
Sen. Maria Cantwell,SenatorCantwell
Rep. Donald McEachin,RepMcEachin
Rep. Chris Smith,RepChrisSmith
Tim Scott,SenatorTimScott
Rep. Zoe Lofgren,RepZoeLofgren
